1,"DAMASCUS, THE CAPITAL OF SYRIA SITUATED ON THE BARANDA RIVER, IS CONSIDERED THE OLDEST CONTINUOUSLY INHABITED CITY IN THE WORLD AND IS THE NAMESAKE OF DAMASK FABRIC, A PATTERNED SILK THAT WAS FIRST WOVEN THERE","UHDHCZPC, GBV ZHNTGHJ KQ CLOTH CTGPHGVU KX GBV IHOHXUH OTFVO, TC ZKXCTUVOVU GBV KJUVCG ZKXGTXPKPCJL TXBHITGVU ZTGL TX GBV EKOJU HXU TC GBV XHDVCHRV KQ UHDHCR QHIOTZ, H NHGGVOXVU CTJR GBHG EHC QTOCG EKFVX GBVOV",I is B.,Country Capital Cryptos
2,"EVEN THOUGH THERE ISN'T A LADIES DETECTIVE AGENCY THERE, GABORONE, THE CAPITAL OF BOTSWANA, REALLY IS A BUSTLING, FAST GROWING AFRICAN CITY THAT WAS BROUGHT TO THE PUBLIC'S ATTENTION BY A SERIES OF GREAT NOVELS","CHCW OXVAEX OXCDC SMW'O G TGZSCM ZCOCIOSHC GECWIK OXCDC, EGRVDVWC, OXC IGUSOGT VJ RVOMLGWG, DCGTTK SM G RAMOTSWE, JGMO EDVLSWE GJDSIGW ISOK OXGO LGM RDVAEXO OV OXC UARTSI'M GOOCWOSVW RK G MCDSCM VJ EDCGO WVHCTM",K is Y.,Country Capital Cryptos
3,"PEOPLE FIND THINGS TO DO LIKE TAKE WALKS ON THE ICE DURING THE DARK DAYS OF WINTER AND TOUR THE RUSSIAN INFLUENCED ARCHITECTURE DURING THE LIGHT NIGHTS OF SUMMER IN HELSINKI, FINLAND, THE WORLD'S SECOND MOST NORTHERN COUNTRY CAPITAL","BFHBJF XRUL CKRUDG CH LH JRSF COSF QOJSG HU CKF RZF LMTRUD CKF LOTS LONG HX QRUCFT OUL CHMT CKF TMGGROU RUXJMFUZFL OTZKRCFZCMTF LMTRUD CKF JRDKC URDKCG HX GMVVFT RU KFJGRUSR, XRUJOUL, CKF QHTJL'G GFZHUL VHGC UHTCKFTU ZHMUCTN ZOBRCOJ",V is M.,Country Capital Cryptos
4,"THE HUMBOLDT CURRENT IN THE PACIFIC OCEAN ALONG THE SHORE OF PERU CAUSES A MIST, CALLED GARUA, THAT BLANKETS THE CAPITAL CITY, LIMA, FOR MUCH OF THE YEAR WHICH SOMETIMES KEEPS SURFERS AWAY","RZI ZOCJYVLR FOGGIER KE RZI BHFKWKF YFIHE HVYEX RZI NZYGI YW BIGO FHONIN H CKNR, FHVVIL XHGOH, RZHR JVHEQIRN RZI FHBKRHV FKRM, VKCH, WYG COFZ YW RZI MIHG DZKFZ NYCIRKCIN QIIBN NOGWIGN HDHM",X is G.,Country Capital Cryptos
5,"WHILE THE NAME CANBERRA IS BASED ON WHAT THE ABORIGINES CALLED THE AREA, MANY NATIVES WERE (AND SOME STILL ARE) UNHAPPY THAT THE AUSTRALIAN GOVERNMENT BUILT A PLANNED CAPITAL CITY THERE","KTDEZ RTZ BCFZ LCBUZVVC DG UCGZW XB KTCR RTZ CUXVDSDBZG LCEEZW RTZ CVZC, FCBH BCRDMZG KZVZ (CBW GXFZ GRDEE CVZ) NBTCIIH RTCR RTZ CNGRVCEDCB SXMZVBFZBR UNDER C IECBBZW LCIDRCE LDRH RTZVZ",M is V.,Country Capital Cryptos
6,"IT'S CONSIDERED KIND OF A MIRACLE THAT SEOUL, THE CAPITAL OF SOUTH KOREA, HAS HAD SUCH A PHENOMENAL RECOVERY AFTER THE DEVASTATION OF ITS CIVIL WAR THAT NOW IT'S ONE OF THE MOST DIGITALLY CONNECTED CITIES IN THE WORLD AND IT GIVES A HOME TO ALMOST HALF OF THE COUNTRY'S POPULATION","CE'B ZAYBCLHIHL XCYL AO K SCIKZDH EMKE BHAQD, EMH ZKJCEKD AO BAQEM XAIHK, MKB MKL BQZM K JMHYASHYKD IHZAGHIP KOEHI EMH LHGKBEKECAY AO CEB ZCGCD UKI EMKE YAU CE'B AYH AO EMH SABE LCNCEKDDP ZAYYHZEHL ZCECHB CY EMH UAIDL KYL CE NCGHB K MASH EA KDSABE MKDO AO EMH ZAQYEIP'B JAJQDKECAY",P is Y.,Country Capital Cryptos
7,"MANY YEARS OF WARS AND OCCUPATIONS IN THE BALTIC REGION WERE HARD FOR LATVIA TO SURVIVE, BUT ONCE AGAIN IT'S AN INDEPENDENT COUNTRY AND ITS CAPITAL, RIGA, BRINGS IT ATTENTION AS THE LEGENDARY BIRTHPLACE OF THE DECORATED CHRISTMAS TREE","FIRS SBIDU CW NIDU IRX CLLEGIJKCRU KR JQB VIYJKL DBZKCR NBDB QIDX WCD YIJMKI JC UEDMKMB, VEJ CRLB IZIKR KJ'U IR KRXBGBRXBRJ LCERJDS IRX KJU LIGKJIY, DKZI, VDKRZU KJ IJJBRJKCR IU JQB YBZBRXIDS VKDJQGYILB CW JQB XBLCDIJBX LQDKUJFIU JDBB",Z is G.,Country Capital Cryptos
8,"PEOPLE ARE CULTURALLY RICH BUT ECONOMICALLY POOR ON THE ALLUVIAL SOIL ALONG THE NIGER RIVER IN BAMAKO, THE CAPITAL OF MALI (LANDLOCKED IN THE HEART OF WEST AFRICA) WHERE YOU CAN FIND THE ONLY ATM IN THE COUNTRY","LHTLBH EXH YGBKGXEBBP XFYZ DGK HYTJTSFYEBBP LTTX TJ KZH EBBGMFEB ATFB EBTJW KZH JFWHX XFMHX FJ DESERT, KZH YELFKEB TI SEBF (BEJNBTYRHN FJ KZH ZHEXK TI CHAK EIXFYE) CZHXH PTG YEJ IFJN KZH TJBP EKS FJ KZH YTGJKXP",S is M.,Country Capital Cryptos
9,"OTTAWA, THE CAPITAL OF CANADA, SITS AT THE CONFLUENCE OF THREE BIG RIVERS, TWO OF WHICH WERE HISTORICALLY IMPORTANT IN THE LUMBER INDUSTRY AND ONE WITH A CANAL; OFFICES OF HIGH-TECH COMPANIES THAT ARE THERE NOW MAKE IT KNOWN AS ""SILICON VALLEY NORTH""","BVVQTQ, VEJ WQKZVQY BL WQAQUQ, GZVG QV VEJ WBALYRJAWJ BL VEOJJ IZX OZNJOG, VTB BL TEZWE TJOJ EZGVBOZWQYYD ZHKBOVQAV ZA VEJ YRHIJO ZAURGVOD QAU BAJ TZVE Q WQAQY; BLLZWJG BL EZXE-VJWE WBHKQAZJG VEQV QOJ VEJOJ ABT HQCJ ZV CABTA QG ""GZYZWBA NQYYJD ABOVE""",X is G.,Country Capital Cryptos
10,"OFF THE COAST OF ECUADOR, THERE ARE UNIQUE CREATURES (INCLUDING SNAKES AND REPTILES) ON THE GALAPAGOS ISLANDS, AND IN ITS MOUNTAINS, THE CITY OF QUITO LIVES WITH THE UNFORTUNATE DISTINCTION OF BEING THE WORLD'S ONLY COUNTRY CAPITAL THAT IS MENACED BY BOTH EARTHQUAKES AND ACTIVE VOLCANOES","IGG RBW LIUNR IG WLZUJID, RBWDW UDW ZAXFZW LDWURZDWN (XALOZJXAV NAUEWN UAJ DWMRXOWN) IA RBW VUOUMUVIN XNOUAJN, UAJ XA XRN HIZARUXAN, RBW LXRS IG FZXRI OXCWN YXRB RBW ZAGIDRZAURW JXNRXALRXIA IG KWXAV RBW YIDOJ'N IAOS LIZARDS LUMXRUO RBUR XN HWAULWJ KS KIRB WUDRBFZUEWN UAJ ULRXCW CIOLUAIWN",Y is W.,Country Capital Cryptos
